,age,gender,year,visits,population
723,29,1,2007,93444,28801
724,29,1,2008,100294,29640
725,29,1,2009,103706,30517
726,29,1,2010,104403,30966
727,29,1,2011,107786,31397
728,29,1,2012,108494,32170
729,29,1,2013,110270,32350
730,29,2,2006,40718,29942
731,29,2,2007,41435,29145
732,29,2,2008,44958,30519
733,29,2,2009,47095,31343
734,29,2,2010,46708,32066
735,29,2,2011,48240,31964
736,29,2,2012,49530,33624
737,29,2,2013,48626,34227
746,30,1,2006,97912,31054
747,30,1,2007,97509,29941
748,30,1,2008,99996,29306
749,30,1,2009,103569,30309
750,30,1,2010,105633,31121
751,30,1,2011,109558,31568
752,30,1,2012,112758,32072
753,30,1,2013,110989,32915
754,30,2,2006,43813,31353
755,30,2,2007,43271,30475
756,30,2,2008,44595,30083
757,30,2,2009,47511,31480
758,30,2,2010,48144,32004
759,30,2,2011,49286,32895
760,30,2,2012,50448,32899
761,30,2,2013,50381,34725
770,31,1,2006,101810,32742
771,31,1,2007,100828,31353
772,31,1,2008,101962,30412
773,31,1,2009,102230,29890
774,31,1,2010,106304,30841
775,31,1,2011,110053,31557
776,31,1,2012,112183,32085
777,31,1,2013,112589,32554
778,31,2,2006,46762,33067
779,31,2,2007,46321,31762
780,31,2,2008,45820,31352
781,31,2,2009,47371,30870
782,31,2,2010,48804,32132
783,31,2,2011,50871,32667
784,31,2,2012,52425,33866
785,31,2,2013,51080,33920
793,32,1,2006,104117,32959
794,32,1,2007,103580,33011
795,32,1,2008,103694,31747
796,32,1,2009,102726,30931
797,32,1,2010,103343,30282
798,32,1,2011,109407,31252
799,32,1,2012,109234,32014
800,32,1,2013,110378,32616
801,32,2,2006,49860,34033
802,32,2,2007,48721,33483
803,32,2,2008,48604,32593
804,32,2,2009,48021,32174
805,32,2,2010,49681,31441
806,32,2,2011,51555,32813
807,32,2,2012,52598,33596
808,32,2,2013,52606,34747
816,33,1,2006,104665,34437
817,33,1,2007,105309,33138
818,33,1,2008,105457,33342
819,33,1,2009,104950,32190
820,33,1,2010,102776,31289
821,33,1,2011,105990,30737
